Vivado Simulator 2018.3
Time resolution is 1 ps
simtime = 10, datain =00000001, dataout =01111100 
simtime = 20, datain =00000010, dataout =01110111 
simtime = 30, datain =00000011, dataout =01111011 
simtime = 40, datain =00000100, dataout =11110010 
simtime = 50, datain =00000101, dataout =01101011 
simtime = 60, datain =00000110, dataout =01101111 
simtime = 70, datain =00000111, dataout =11000101 
simtime = 80, datain =00001000, dataout =00110000 
simtime = 90, datain =00001001, dataout =00000001 
simtime = 100, datain =00001010, dataout =01100111 
simtime = 110, datain =00001011, dataout =00101011 
simtime = 120, datain =00001100, dataout =11111110 
simtime = 130, datain =00001101, dataout =11010111 
simtime = 140, datain =00001110, dataout =10101011 
simtime = 150, datain =00001111, dataout =01110110 
simtime = 160, datain =00010000, dataout =11001010 
simtime = 170, datain =00010001, dataout =10000010 
simtime = 180, datain =00010010, dataout =11001001 
simtime = 190, datain =00010011, dataout =01111101 
simtime = 200, datain =00010100, dataout =11111010 
simtime = 210, datain =00010101, dataout =01011001 
simtime = 220, datain =00010110, dataout =01000111 
simtime = 230, datain =00010111, dataout =11110000 
simtime = 240, datain =00011000, dataout =10101101 
simtime = 250, datain =00011001, dataout =11010100 
simtime = 260, datain =00011010, dataout =10100010 
simtime = 270, datain =00011011, dataout =10101111 
simtime = 280, datain =00011100, dataout =10011100 
simtime = 290, datain =00011101, dataout =10100100 
simtime = 300, datain =00011110, dataout =01110010 
simtime = 310, datain =00011111, dataout =11000000 
simtime = 320, datain =00100000, dataout =10110111 
simtime = 330, datain =00100001, dataout =11111101 
simtime = 340, datain =00100010, dataout =10010011 
simtime = 350, datain =00100011, dataout =00100110 
simtime = 360, datain =00100100, dataout =00110110 
simtime = 370, datain =00100101, dataout =00111111 
simtime = 380, datain =00100110, dataout =11110111 
simtime = 390, datain =00100111, dataout =11001100 
simtime = 400, datain =00101000, dataout =00110100 
simtime = 410, datain =00101001, dataout =10100101 
simtime = 420, datain =00101010, dataout =11100101 
simtime = 430, datain =00101011, dataout =11110001 
simtime = 440, datain =00101100, dataout =01110001 
simtime = 450, datain =00101101, dataout =11011000 
simtime = 460, datain =00101110, dataout =00110001 
simtime = 470, datain =00101111, dataout =00010101 
simtime = 480, datain =00110000, dataout =00000100 
simtime = 490, datain =00110001, dataout =11000111 
simtime = 500, datain =00110010, dataout =00100011 
simtime = 510, datain =00110011, dataout =11000011 
simtime = 520, datain =00110100, dataout =00011000 
simtime = 530, datain =00110101, dataout =10010110 
simtime = 540, datain =00110110, dataout =00000101 
simtime = 550, datain =00110111, dataout =10011010 
simtime = 560, datain =00111000, dataout =00000111 
simtime = 570, datain =00111001, dataout =00010010 
simtime = 580, datain =00111010, dataout =10000000 
simtime = 590, datain =00111011, dataout =11100010 
simtime = 600, datain =00111100, dataout =11101011 
simtime = 610, datain =00111101, dataout =00100111 
simtime = 620, datain =00111110, dataout =10110010 
simtime = 630, datain =00111111, dataout =01110101 
simtime = 640, datain =01000000, dataout =00001001 
simtime = 650, datain =01000001, dataout =10000011 
simtime = 660, datain =01000010, dataout =00101100 
simtime = 670, datain =01000011, dataout =00011010 
simtime = 680, datain =01000100, dataout =00011011 
simtime = 690, datain =01000101, dataout =01101110 
simtime = 700, datain =01000110, dataout =01011010 
simtime = 710, datain =01000111, dataout =10100000 
simtime = 720, datain =01001000, dataout =01010010 
simtime = 730, datain =01001001, dataout =00111011 
simtime = 740, datain =01001010, dataout =11010110 
simtime = 750, datain =01001011, dataout =10110011 
simtime = 760, datain =01001100, dataout =00101001 
simtime = 770, datain =01001101, dataout =11100011 
simtime = 780, datain =01001110, dataout =00101111 
simtime = 790, datain =01001111, dataout =10000100 
simtime = 800, datain =01010000, dataout =01010011 
simtime = 810, datain =01010001, dataout =11010001 
simtime = 820, datain =01010010, dataout =00000000 
simtime = 830, datain =01010011, dataout =11101101 
simtime = 840, datain =01010100, dataout =00100000 
simtime = 850, datain =01010101, dataout =11111100 
simtime = 860, datain =01010110, dataout =10110001 
simtime = 870, datain =01010111, dataout =01011011 
simtime = 880, datain =01011000, dataout =01101010 
simtime = 890, datain =01011001, dataout =11001011 
simtime = 900, datain =01011010, dataout =10111110 
simtime = 910, datain =01011011, dataout =00111001 
simtime = 920, datain =01011100, dataout =01001010 
simtime = 930, datain =01011101, dataout =01001100 
simtime = 940, datain =01011110, dataout =01011000 
simtime = 950, datain =01011111, dataout =11001111 
simtime = 960, datain =01100000, dataout =11010000 
simtime = 970, datain =01100001, dataout =11101111 
simtime = 980, datain =01100010, dataout =10101010 
simtime = 990, datain =01100011, dataout =11111011 
simtime = 1000, datain =01100100, dataout =01000011 
