Vivado Simulator 2018.3
Time resolution is 1 ps
simtime = 1, datain =00000001, dataout =01101100 
simtime = 2, datain =00000010, dataout =01100111 
simtime = 3, datain =00000011, dataout =10001011 
simtime = 4, datain =00000100, dataout =01100011 
simtime = 5, datain =00000101, dataout =11101011 
simtime = 6, datain =00000110, dataout =00111011 
simtime = 7, datain =00000111, dataout =11011100 
simtime = 8, datain =00001000, dataout =00110000 
simtime = 9, datain =00001001, dataout =11110001 
simtime = 10, datain =00001010, dataout =01100111 
simtime = 11, datain =00001011, dataout =00111011 
simtime = 12, datain =00001100, dataout =11111110 
simtime = 13, datain =00001101, dataout =01100011 
simtime = 14, datain =00001110, dataout =10011010 
simtime = 15, datain =00001111, dataout =10001000 
simtime = 16, datain =00010000, dataout =00111111 
simtime = 17, datain =00010001, dataout =01100011 
simtime = 18, datain =00010010, dataout =11001101 
simtime = 19, datain =00010011, dataout =01010000 
simtime = 20, datain =00010100, dataout =01100111 
simtime = 21, datain =00010101, dataout =10101001 
simtime = 22, datain =00010110, dataout =10001000 
simtime = 23, datain =00010111, dataout =11010000 
simtime = 24, datain =00011000, dataout =11110110 
simtime = 25, datain =00011001, dataout =10001111 
simtime = 26, datain =00011010, dataout =00011101 
simtime = 27, datain =00011011, dataout =01100011 
simtime = 28, datain =00011100, dataout =01010011 
simtime = 29, datain =00011101, dataout =10110100 
simtime = 30, datain =00011110, dataout =00110000 
simtime = 31, datain =00011111, dataout =10011101 
simtime = 32, datain =00100000, dataout =10110111 
simtime = 33, datain =00100001, dataout =00011101 
simtime = 34, datain =00100010, dataout =01000101 
simtime = 35, datain =00100011, dataout =00000000 
simtime = 36, datain =00100100, dataout =01011000 
simtime = 37, datain =00100101, dataout =10010110 
simtime = 38, datain =00100110, dataout =11010111 
simtime = 39, datain =00100111, dataout =00000011 
simtime = 40, datain =00101000, dataout =11010100 
simtime = 41, datain =00101001, dataout =10000011 
simtime = 42, datain =00101010, dataout =00110011 
simtime = 43, datain =00101011, dataout =11010111 
simtime = 44, datain =00101100, dataout =10101110 
simtime = 45, datain =00101101, dataout =11101000 
simtime = 46, datain =00101110, dataout =10000100 
simtime = 47, datain =00101111, dataout =01100011 
simtime = 48, datain =00110000, dataout =11011011 
simtime = 49, datain =00110001, dataout =00111000 
simtime = 50, datain =00110010, dataout =01001010 
simtime = 51, datain =00110011, dataout =11001101 
simtime = 52, datain =00110100, dataout =01110001 
simtime = 53, datain =00110101, dataout =11001010 
simtime = 54, datain =00110110, dataout =01100011 
simtime = 55, datain =00110111, dataout =01000010 
simtime = 56, datain =00111000, dataout =01001110 
simtime = 57, datain =00111001, dataout =11100011 
simtime = 58, datain =00111010, dataout =10000000 
simtime = 59, datain =00111011, dataout =00011101 
simtime = 60, datain =00111100, dataout =10110011 
simtime = 61, datain =00111101, dataout =01010000 
simtime = 62, datain =00111110, dataout =01010000 
simtime = 63, datain =00111111, dataout =10001000 
simtime = 64, datain =01000000, dataout =00011001 
simtime = 65, datain =01000001, dataout =01000101 
simtime = 66, datain =01000010, dataout =00111100 
simtime = 67, datain =01000011, dataout =00011010 
simtime = 68, datain =01000100, dataout =11010011 
simtime = 69, datain =01000101, dataout =00111011 
simtime = 70, datain =01000110, dataout =00011010 
simtime = 71, datain =01000111, dataout =10110111 
simtime = 72, datain =01001000, dataout =01000010 
simtime = 73, datain =01001001, dataout =00111011 
simtime = 74, datain =01001010, dataout =11000110 
simtime = 75, datain =01001011, dataout =01010011 
simtime = 76, datain =01001100, dataout =01110101 
simtime = 77, datain =01001101, dataout =10010010 
simtime = 78, datain =01001110, dataout =01000010 
simtime = 79, datain =01001111, dataout =11110110 
simtime = 80, datain =01010000, dataout =01100011 
simtime = 81, datain =01010001, dataout =11000001 
simtime = 82, datain =01010010, dataout =10010101 
simtime = 83, datain =01010011, dataout =10111000 
