Vivado Simulator 2018.3
Time resolution is 1 ps
simtime = 5, datain =00000001, dataout =01100100 
simtime = 10, datain =00000010, dataout =01110110 
simtime = 15, datain =00000011, dataout =01111011 
simtime = 20, datain =00000100, dataout =00100101 
simtime = 25, datain =00000101, dataout =11010011 
simtime = 30, datain =00000110, dataout =00001011 
simtime = 35, datain =00000111, dataout =11010100 
simtime = 40, datain =00001000, dataout =10001000 
simtime = 45, datain =00001001, dataout =00000000 
simtime = 50, datain =00001010, dataout =10111110 
simtime = 55, datain =00001011, dataout =00011011 
simtime = 60, datain =00001100, dataout =11010000 
simtime = 65, datain =00001101, dataout =11010111 
simtime = 70, datain =00001110, dataout =10101011 
simtime = 75, datain =00001111, dataout =00011000 
simtime = 80, datain =00010000, dataout =11001011 
simtime = 85, datain =00010001, dataout =10000010 
simtime = 90, datain =00010010, dataout =00011010 
simtime = 95, datain =00010011, dataout =10011001 
simtime = 100, datain =00010100, dataout =11111011 
simtime = 105, datain =00010101, dataout =10000101 
simtime = 110, datain =00010110, dataout =01100000 
simtime = 115, datain =00010111, dataout =11100011 
simtime = 120, datain =00011000, dataout =10101100 
simtime = 125, datain =00011001, dataout =11000101 
simtime = 130, datain =00011010, dataout =10111001 
simtime = 135, datain =00011011, dataout =00110010 
simtime = 140, datain =00011100, dataout =10111101 
simtime = 145, datain =00011101, dataout =01100001 
simtime = 150, datain =00011110, dataout =01110010 
simtime = 155, datain =00011111, dataout =11000001 
simtime = 160, datain =00100000, dataout =11010110 
simtime = 165, datain =00100001, dataout =01101000 
simtime = 170, datain =00100010, dataout =11110000 
simtime = 175, datain =00100011, dataout =00100110 
simtime = 180, datain =00100100, dataout =10010001 
simtime = 185, datain =00100101, dataout =10010111 
simtime = 190, datain =00100110, dataout =10001010 
simtime = 195, datain =00100111, dataout =11001100 
simtime = 200, datain =00101000, dataout =00000010 
simtime = 205, datain =00101001, dataout =10000011 
simtime = 210, datain =00101010, dataout =11100101 
simtime = 215, datain =00101011, dataout =10010011 
simtime = 220, datain =00101100, dataout =01110001 
simtime = 225, datain =00101101, dataout =00010111 
simtime = 230, datain =00101110, dataout =01101010 
simtime = 235, datain =00101111, dataout =01101001 
simtime = 240, datain =00110000, dataout =10101000 
simtime = 245, datain =00110001, dataout =10110100 
simtime = 250, datain =00110010, dataout =11101010 
simtime = 255, datain =00110011, dataout =01101100 
simtime = 260, datain =00110100, dataout =11101110 
simtime = 265, datain =00110101, dataout =00111111 
simtime = 270, datain =00110110, dataout =00101101 
simtime = 275, datain =00110111, dataout =01011010 
simtime = 280, datain =00111000, dataout =11101001 
simtime = 285, datain =00111001, dataout =10010010 
simtime = 290, datain =00111010, dataout =10000000 
simtime = 295, datain =00111011, dataout =11110001 
simtime = 300, datain =00111100, dataout =00100010 
simtime = 305, datain =00111101, dataout =00110111 
simtime = 310, datain =00111110, dataout =11101101 
simtime = 315, datain =00111111, dataout =01110100 
simtime = 320, datain =01000000, dataout =01001000 
simtime = 325, datain =01000001, dataout =10100100 
simtime = 330, datain =01000010, dataout =10101001 
simtime = 335, datain =01000011, dataout =00101010 
simtime = 340, datain =01000100, dataout =11001000 
simtime = 345, datain =01000101, dataout =01101111 
simtime = 350, datain =01000110, dataout =10011010 
simtime = 355, datain =01000111, dataout =10100000 
simtime = 360, datain =01001000, dataout =01010010 
simtime = 365, datain =01001001, dataout =01001111 
simtime = 370, datain =01001010, dataout =10110110 
simtime = 375, datain =01001011, dataout =10110011 
simtime = 380, datain =01001100, dataout =00101000 
simtime = 385, datain =01001101, dataout =11100010 
simtime = 390, datain =01001110, dataout =11000011 
simtime = 395, datain =01001111, dataout =01011001 
simtime = 400, datain =01010000, dataout =11111001 
simtime = 405, datain =01010001, dataout =11111110 
simtime = 410, datain =01010010, dataout =00000001 
simtime = 415, datain =01010011, dataout =10110010 
simtime = 420, datain =01010100, dataout =10001110 
simtime = 425, datain =01010101, dataout =00010100 
simtime = 430, datain =01010110, dataout =10110001 
simtime = 435, datain =01010111, dataout =01111001 
simtime = 440, datain =01011000, dataout =00110000 
simtime = 445, datain =01011001, dataout =11001010 
simtime = 450, datain =01011010, dataout =10111111 
simtime = 455, datain =01011011, dataout =10001001 
simtime = 460, datain =01011100, dataout =01001010 
simtime = 465, datain =01011101, dataout =01001101 
simtime = 470, datain =01011110, dataout =01011000 
simtime = 475, datain =01011111, dataout =11001111 
simtime = 480, datain =01100000, dataout =10101111 
simtime = 485, datain =01100001, dataout =11111010 
simtime = 490, datain =01100010, dataout =11000000 
simtime = 495, datain =01100011, dataout =11101111 
simtime = 500, datain =01100100, dataout =01000011 
simtime = 505, datain =01100101, dataout =00110011 
simtime = 510, datain =01100110, dataout =10101110 
simtime = 515, datain =01100111, dataout =01011101 
simtime = 520, datain =01101000, dataout =01000100 
simtime = 525, datain =01101001, dataout =10110000 
simtime = 530, datain =01101010, dataout =00000011 
simtime = 535, datain =01101011, dataout =01000010 
simtime = 540, datain =01101100, dataout =01010000 
simtime = 545, datain =01101101, dataout =00111100 
simtime = 550, datain =01101110, dataout =10011110 
simtime = 555, datain =01101111, dataout =00000100 
simtime = 560, datain =01110000, dataout =01010001 
simtime = 565, datain =01110001, dataout =10100011 
simtime = 570, datain =01110010, dataout =01000000 
simtime = 575, datain =01110011, dataout =00100001 
simtime = 580, datain =01110100, dataout =00010011 
simtime = 585, datain =01110101, dataout =10100001 
simtime = 590, datain =01110110, dataout =00111001 
simtime = 595, datain =01110111, dataout =11110101 
simtime = 600, datain =01111000, dataout =10011101 
simtime = 605, datain =01111001, dataout =00110101 
simtime = 610, datain =01111010, dataout =11011011 
simtime = 615, datain =01111011, dataout =00100000 
simtime = 620, datain =01111100, dataout =01010110 
simtime = 625, datain =01111101, dataout =11111111 
simtime = 630, datain =01111110, dataout =11000110 
simtime = 635, datain =01111111, dataout =01101011 
simtime = 640, datain =10000000, dataout =11001101 
simtime = 645, datain =10000001, dataout =00001100 
simtime = 650, datain =10000010, dataout =01110000 
simtime = 655, datain =10000011, dataout =11011111 
simtime = 660, datain =10000100, dataout =01011110 
simtime = 665, datain =10000101, dataout =11011101 
simtime = 670, datain =10000110, dataout =01000101 
simtime = 675, datain =10000111, dataout =11011001 
simtime = 680, datain =10001000, dataout =11000100 
simtime = 685, datain =10001001, dataout =01000111 
simtime = 690, datain =10001010, dataout =10111100 
simtime = 695, datain =10001011, dataout =00001111 
simtime = 700, datain =10001100, dataout =10011000 
simtime = 705, datain =10001101, dataout =01100111 
simtime = 710, datain =10001110, dataout =01110111 
simtime = 715, datain =10001111, dataout =01110011 
simtime = 720, datain =10010000, dataout =01000110 
simtime = 725, datain =10010001, dataout =01100010 
simtime = 730, datain =10010010, dataout =11011000 
simtime = 735, datain =10010011, dataout =01110101 
simtime = 740, datain =10010100, dataout =00100011 
simtime = 745, datain =10010101, dataout =00101011 
simtime = 750, datain =10010110, dataout =11010101 
simtime = 755, datain =10010111, dataout =00110001 
simtime = 760, datain =10011000, dataout =10100110 
simtime = 765, datain =10011001, dataout =00011001 
simtime = 770, datain =10011010, dataout =10011011 
simtime = 775, datain =10011011, dataout =11111100 
simtime = 780, datain =10011100, dataout =00001110 
simtime = 785, datain =10011101, dataout =01011111 
simtime = 790, datain =10011110, dataout =10001100 
simtime = 795, datain =10011111, dataout =11011010 
simtime = 800, datain =10100000, dataout =11100001 
simtime = 805, datain =10100001, dataout =01001100 
simtime = 810, datain =10100010, dataout =11110100 
simtime = 815, datain =10100011, dataout =01101110 
simtime = 820, datain =10100100, dataout =11101011 
simtime = 825, datain =10100101, dataout =00000110 
simtime = 830, datain =10100110, dataout =00100100 
simtime = 835, datain =10100111, dataout =10000100 
simtime = 840, datain =10101000, dataout =00101111 
simtime = 845, datain =10101001, dataout =11010010 
simtime = 850, datain =10101010, dataout =10101101 
simtime = 855, datain =10101011, dataout =10000001 
simtime = 860, datain =10101100, dataout =00110110 
simtime = 865, datain =10101101, dataout =10010100 
simtime = 870, datain =10101110, dataout =11101000 
simtime = 875, datain =10101111, dataout =01011011 
simtime = 880, datain =10110000, dataout =11001110 
simtime = 885, datain =10110001, dataout =11001001 
simtime = 890, datain =10110010, dataout =00100111 
simtime = 895, datain =10110011, dataout =11000010 
simtime = 900, datain =10110100, dataout =00001010 
simtime = 905, datain =10110101, dataout =10010000 
simtime = 910, datain =10110110, dataout =00111010 
simtime = 915, datain =10110111, dataout =00101100 
simtime = 920, datain =10111000, dataout =00101110 
simtime = 925, datain =10111001, dataout =01010111 
